"graph","group","pdb","chain","ligand"
176,4,"7pki","A","E"
177,1,"7pki","A","E"
178,1,"7pki","A","E"
179,1,"7spp","A","C"
180,4,"7spp","A","C"
181,7,"7spp","A","C"
182,1,"7spp","A","C"
183,4,"7spp","A","C"
184,4,"7spp","A","C"
185,4,"7spp","A","C"
186,3,"7spp","A","C"
187,7,"7sxy","B","E"
188,3,"7sxy","B","E"
189,3,"7sxy","B","E"
190,4,"7sxy","B","E"
191,3,"7sxy","B","E"
192,6,"7sxy","B","E"
193,4,"7sxy","B","E"
194,4,"7sxy","B","E"
195,1,"7sxy","B","E"
196,2,"7sxy","B","E"
197,4,"7sxy","B","E"
198,6,"7sxy","B","E"
199,4,"7sxy","B","E"
200,3,"7sy0","B","E"
201,4,"7sy0","B","E"
202,2,"7sy0","B","E"
203,3,"7sy0","B","E"
204,6,"7sy0","B","E"
205,4,"7sy0","B","E"
206,1,"7sy0","B","E"
207,2,"7sy0","B","E"
208,4,"7sy0","B","E"
209,6,"7sy0","B","E"
210,4,"7sy0","B","E"
211,6,"7sy6","B","E"
212,5,"7sy6","B","E"
213,4,"7sy6","B","E"
214,4,"7sy6","B","E"
215,2,"7sy6","B","E"
216,7,"7sy6","B","E"
217,6,"7sy6","B","E"
218,4,"7sy6","B","E"
219,1,"7t9l","A","D"
220,1,"7t9l","A","D"
221,4,"7t9l","A","D"
222,1,"7t9l","A","D"
223,3,"7t9l","A","D"
224,3,"7t9l","A","D"
225,2,"7t9l","A","D"
226,7,"7t9l","A","D"
227,4,"7t9l","A","D"
228,5,"7v84","A","F"
229,4,"7v84","A","F"
230,2,"7v84","A","F"
231,7,"7v84","A","F"
232,6,"7v84","A","F"
233,6,"7w6u","A","B"
234,7,"7w6u","A","B"
235,3,"7w6u","A","B"
236,4,"7w6u","A","B"
237,4,"7w6u","A","B"
238,4,"7w6u","A","B"
239,4,"7w6u","A","B"
240,4,"7w6u","A","B"
241,1,"7w6u","A","B"
242,1,"7w6u","A","B"
243,1,"7w8s","A","B"
244,3,"7w8s","A","B"
245,3,"7w8s","A","B"
246,1,"7w8s","A","B"
247,7,"7w8s","A","B"
248,3,"7w8s","A","B"
249,4,"7w9i","A","E"
250,5,"7w9i","A","E"
251,3,"7w9i","A","E"
252,3,"7w9i","A","E"
253,7,"7w9i","A","E"
254,4,"7w9i","A","E"
255,2,"7w9i","A","E"
256,4,"7w9i","A","E"
257,6,"7w9i","A","E"
258,4,"7w9i","A","E"
259,1,"7wa1","A","B"
260,6,"7wa1","A","B"
261,7,"7wa1","A","B"
262,6,"7wa1","A","B"
263,1,"7wa1","A","B"
264,1,"7wa1","A","B"
265,3,"7wa1","A","B"
266,4,"7wa1","A","B"
267,1,"7wa1","A","B"
268,2,"7wa1","A","B"
269,4,"7wa1","A","B"
270,4,"7wa1","A","B"
271,5,"7wa1","A","B"
272,3,"7wa1","A","B"
273,4,"7wnm","B","A"
274,4,"7wnm","B","A"
275,1,"7wnm","B","A"
276,1,"7wnm","B","A"
277,4,"7wnm","B","A"
278,5,"7wnm","B","A"
279,2,"7wnm","B","A"
280,7,"7wnm","B","A"
281,1,"7wnm","B","A"
282,4,"7wnm","B","A"
283,4,"7wnm","B","A"
284,1,"7wnm","B","A"
285,3,"7wpa","A","D"
286,1,"7wpa","A","D"
287,1,"7wpa","A","D"
288,1,"7wpa","A","D"
289,6,"7wpa","A","D"
290,1,"7wpa","A","D"
291,7,"7wpa","A","D"
292,7,"7wpa","A","D"
293,3,"7wpa","A","D"
294,7,"7wpa","A","D"
295,3,"7wpb","A","D"
296,7,"7wpb","A","D"
297,5,"7wpb","A","D"
298,4,"7wpb","A","D"
299,6,"7wpb","A","D"
300,4,"7wpb","A","D"
301,4,"7wpb","A","D"
302,6,"7wpb","A","D"
303,3,"7wpb","A","D"
304,2,"7wpb","A","D"
305,6,"7wpb","A","D"
306,4,"7wpb","A","D"
307,4,"7wse","A","B"
308,7,"7wse","A","B"
309,6,"7wse","A","B"
310,1,"7wse","A","B"
311,1,"7wse","A","B"
312,3,"7wse","A","B"
313,7,"7wse","A","B"
314,4,"7wse","A","B"
315,3,"7wse","A","B"
316,4,"7wse","A","B"
317,1,"7wse","A","B"
318,2,"7wse","A","B"
319,1,"7wse","A","B"
320,7,"7wse","A","B"
321,4,"7wse","A","B"
322,1,"7wse","A","B"
323,7,"7wsh","A","B"
324,5,"7wsh","A","B"
325,3,"7wsh","A","B"
326,5,"7wsh","A","B"
327,3,"7wsh","A","B"
328,1,"7wsh","A","B"
329,4,"7wsh","A","B"
330,2,"7wsh","A","B"
331,4,"7wsh","A","B"
332,5,"7wsh","A","B"
333,3,"7wsh","A","B"
334,7,"7wsh","A","B"
335,5,"7xo6","D","A"
336,4,"7xo6","D","A"
337,3,"7xo6","D","A"
338,3,"7xo6","D","A"
339,4,"7xo6","D","A"
340,7,"7xo6","D","A"
341,7,"7xo6","D","A"
342,4,"7xo9","A","D"
343,5,"7xo9","A","D"
344,4,"7xo9","A","D"
345,1,"7xo9","A","D"
346,3,"7xo9","A","D"
347,3,"7xo9","A","D"
348,2,"7xo9","A","D"
349,7,"7xo9","A","D"
350,1,"7xo9","A","D"
351,4,"7xo9","A","D"
352,7,"7xo9","A","D"
353,5,"7xoc","D","A"
354,4,"7xoc","D","A"
355,4,"7xoc","D","A"
356,3,"7xoc","D","A"
357,3,"7xoc","D","A"
358,7,"7xoc","D","A"
359,2,"7xoc","D","A"
360,4,"7xoc","D","A"
361,5,"7xoc","D","A"
362,7,"8dlq","B","E"
363,4,"8dlq","B","E"
364,1,"8dlq","B","E"
365,1,"8dlq","B","E"
366,1,"8dlq","B","E"
367,4,"8dlq","B","E"
368,4,"8dlq","B","E"
369,2,"8dlq","B","E"
370,7,"8dlq","B","E"
371,3,"8dm6","A","D"
372,1,"8dm6","A","D"
373,7,"8dm6","A","D"
374,4,"8dm6","A","D"
375,1,"8dm6","A","D"
376,3,"8dm6","A","D"
377,2,"8dm6","A","D"
378,7,"8dm6","A","D"
379,4,"8dm6","A","D"
380,3,"8dm8","A","D"
381,4,"8dm8","A","D"
382,1,"8dm8","A","D"
383,5,"8dm8","A","D"
384,3,"8dm8","A","D"
385,2,"8dm8","A","D"
386,5,"8dm8","A","D"
387,7,"8dm8","A","D"
388,4,"8dm8","A","D"
389,3,"8dma","A","D"
390,5,"8dma","A","D"
391,5,"8dma","A","D"
392,3,"8dma","A","D"
393,2,"8dma","A","D"
394,5,"8dma","A","D"
395,4,"8dma","A","D"
