P1,P2,class label
AF-P14210-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P17535-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P18146-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P42336-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P42338-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P45452-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-P45452-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P55107-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-Q13103-F1.pdb,AF-A0A024QYT5-F1.pdb,5
AF-Q14191-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q14520-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-Q15466-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q15796-F1.pdb,AF-A0A024QYT5-F1.pdb,4
AF-Q15796-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-Q15853-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q15853-F1.pdb,AF-A0A024QYT5-F1.pdb,1
AF-Q969F9-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q96DB2-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q96GC9-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q96QB1-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q99814-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q9HD89-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-Q9NQC7-F1.pdb,AF-A0A024QYT5-F1.pdb,6
AF-P16144-F1.pdb,AF-A0A024QYY9-F1.pdb,3
AF-P18206-F1.pdb,AF-A0A024QYY9-F1.pdb,3
AF-Q15654-F1.pdb,AF-A0A024QYY9-F1.pdb,3
AF-A0A024QZ86-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024QZF2-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024QZF2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024QZF2-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R0C8-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R0C8-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R0L4-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R0L4-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R0L4-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R0L5-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R0P6-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R0P6-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R0P6-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R0Q7-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R0Q7-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R0Y6-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R0Y6-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R0Y6-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R1A7-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R1A7-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R1C8-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R1C8-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R1C8-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R1C8-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-A0A024R1C8-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-A0A024R1C8-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R1P2-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R1P2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R1P2-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R3G7-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R3Q0-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R3Q0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R4L1-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R4L1-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R4L1-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R5Y2-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-A0A024R5Y2-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R5Y2-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R5Y2-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-A0A024R5Y2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R5Y2-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R5Y3-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R5Y3-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R5Y3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R5Y3-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R5Z8-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R5Z8-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R5Z8-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R625-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R692-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R6X0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R7V6-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R7V6-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R7V6-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R807-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R807-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024R807-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R8D6-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R9F5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R9R2-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024R9R2-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A024R9R2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024R9R2-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024RAG3-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024RAG3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024RAR2-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024RAR2-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024RAR2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024RAT4-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024RAT4-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024RAT4-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024RB87-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024RB87-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024RB87-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024RBC1-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024RBC1-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A024RBE2-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A024RBE2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A024RD16-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A090N900-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A0A090N900-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A090N900-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A0S2Z4M2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A0S2Z4Z8-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A0S2Z595-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A0U2ZQU7-F1.pdb,AF-A0A024QZ20-F1.pdb,6
AF-A0A140VJS0-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A0A140VJS0-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A140VJW0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A0A654IBU3-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A0A654IBU3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A1LQ23-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A4D0Z3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A4D0Z3-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-A4D0Z3-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-A4D0Z3-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-A4D0Z3-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-A4D0Z3-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A4QPA9-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A6NH57-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A6NH57-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-A8K6K3-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-A8K6K3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-B0LPE5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-B0LPE5-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-B2CIS9-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-B2R6Q4-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-F1D8R3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-F1T0G5-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-F1T0H3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-K7PPA8-F1.pdb,AF-A0A024QZ20-F1.pdb,6
AF-L7RRS6-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-L7RRS6-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-L7RTI5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O00212-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O14807-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O15119-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-O15355-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O15355-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-O15397-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-O43623-F1.pdb,AF-A0A024QZ20-F1.pdb,6
AF-O60346-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O60346-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-O75582-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-O75582-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-O75582-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O75628-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-O75628-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-O75628-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-O75628-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O75628-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-O75628-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-O75688-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-O75688-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-O75832-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-P01100-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P01112-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P01116-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P01116-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P01116-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P01133-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P05129-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P05129-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P09471-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P10114-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P10114-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P10114-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P11233-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-P11233-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-P11233-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P11233-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-P11233-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P11233-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P15172-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P15336-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P15336-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P15408-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P15408-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P17081-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P17081-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P17081-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P17535-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P17535-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P17706-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P19086-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P19087-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P23443-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P23443-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P23443-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P23469-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P23469-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P23469-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P28562-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P28562-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P28562-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P29074-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P29074-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P29322-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-P29322-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-P29322-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-P29474-F1.pdb,AF-A0A024QZ20-F1.pdb,6
AF-P30304-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P30305-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P30305-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P30968-F1.pdb,AF-A0A024QZ20-F1.pdb,6
AF-P36507-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P36507-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P40616-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P40616-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P40616-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P41161-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P43378-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P43403-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P45985-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-P45985-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P48454-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P49593-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P49593-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P55212-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P57059-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P57059-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P57082-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P60763-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P62070-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-P62070-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-P62070-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q04759-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q04759-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q05209-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q05209-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q05209-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q05923-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q06AU2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q07890-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q13115-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q13115-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q13115-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q13882-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q14814-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q15256-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q15256-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q16520-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q16827-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q16827-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q16849-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q3ZBW5-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q3ZBW5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q5RCF1-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q5RD73-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q5RD73-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q5RD73-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q5S007-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q5VZP5-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q5VZP5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q68CZ2-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q6J9G0-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q6J9G0-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-Q6J9G0-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-Q6T310-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q6T310-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q6T310-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q76I76-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q76I76-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8IW41-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-Q8IW41-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q8IW41-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8IW41-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q8IW41-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-Q8IYK8-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q8IYK8-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8N1L9-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8N3J5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8N8L6-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8TAI7-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8TDC3-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8WY54-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q8WYL5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q92519-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-Q92519-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q92519-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-Q92730-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q92843-F1.pdb,AF-A0A024QZ20-F1.pdb,6
AF-Q969Q4-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q969Q4-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q96D21-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-Q96D21-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-Q96D21-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q96D21-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q96D21-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q96D21-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q96L34-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q96L34-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q96NX5-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-Q96NX5-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q96NX5-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-Q96RU7-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q96S79-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q96S79-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q99581-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q99952-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q99952-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q99952-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9BPW5-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9BPW5-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9BPW5-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9BV47-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9BV47-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9BV47-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9H0C8-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9H0C8-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9H3S7-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9H3S7-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9H3Y6-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q9H628-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9H628-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9H628-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9HAV0-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9HBH0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9HBH0-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9HBH9-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9HBH9-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9HBL0-F1.pdb,AF-A0A024QZ20-F1.pdb,2
AF-Q9HBL0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9HBL0-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9HBL0-F1.pdb,AF-A0A024QZ20-F1.pdb,5
AF-Q9HBL0-F1.pdb,AF-A0A024QZ20-F1.pdb,3
AF-Q9HBL0-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9NR55-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9NR55-F1.pdb,AF-A0A024QZ20-F1.pdb,1
AF-Q9NR55-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9NY57-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9NY57-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9NZQ0-F1.pdb,AF-A0A024QZ20-F1.pdb,4
AF-Q9NZQ0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9P2J9-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9UBS0-F1.pdb,AF-A0A024QZ20-F1.pdb,0
AF-Q9UK32-F1.pdb,AF-A0A024QZ20-F1.pdb,0
