PDB,Virus,Variant,Domain,Antibody,Receptor/Other,Resolution,Release Date,Reference
7sy8,SARS-CoV-2,none,RBD,,ACE2,3.14,12/29/2021,34914928
7t9l,SARS-CoV-2,none,RBD,,ACE2,2.66,12/29/2021,null
7tew,SARS-CoV-2,none,RBD,,ACE2,3.52,3/16/2022,35136050
7tez,SARS-CoV-2,none,RBD,,ACE2,3.27,3/16/2022,35136050
7v80,SARS-CoV-2,Beta,RBD,,ACE2,3.9,10/6/2021,null
7v84,SARS-CoV-2,Gamma,RBD,,ACE2,3,10/6/2021,null
7v8b,SARS-CoV-2,Delta,RBD,,ACE2,3.2,10/6/2021,null
7vx4,SARS-CoV-2,Beta,RBD,,ACE2,3.9,12/1/2021,null
7vx5,SARS-CoV-2,Kappa,RBD,,ACE2,3.8,12/1/2021,null
7w6u,SARS-CoV-2,Orig,RBD,,ACE2,2.56,6/8/2022,null
7w8s,SARS-CoV-2,Orig,RBD,,ACE2,2.85,8/17/2022,null
7w9i,SARS-CoV-2,Delta,RBD,,ACE2,1.83,7/21/2021,34261126
7wa1,SARS-CoV-2,Orig,RBD,,ACE2,2.9,8/17/2022,null
7wbq,SARS-CoV-2,Delta,RBD,,ACE2,1.83,7/21/2021,34261126
7wgc,SARS-CoV-2,Omicron,RBD,,ACE2,3.6,6/22/2022,35120603
7wk6,SARS-CoV-2,Omicron,RBD,,ACE2,3.67,2/2/2022,null
7wnm,SARS-CoV-2,Gamma,RBD,,ACE2,2.7,12/21/2022,35013100
7wpa,SARS-CoV-2,Omicron,RBD,,ACE2,2.77,3/9/2022,35133176
7wpb,SARS-CoV-2,Omicron,RBD,,ACE2,2.79,3/9/2022,35133176
7wpc,SARS-CoV-2,Omicron,RBD,,ACE2,2.57,3/9/2022,35133176
7wri,SARS-CoV-2,Omicron,RBD,,ACE2,3.03,6/8/2022,null
7wse,SARS-CoV-2,Orig,RBD,,ACE2,2.93,10/19/2022,36187898
7wsh,SARS-CoV-2,Orig,RBD,,ACE2,2.89,11/9/2022,36187898
7xa7,SARS-CoV-2,Orig,RBD,,ACE2*,3.31,12/21/2022,35874946
7xo6,SARS-CoV-2,Omicron,RBD,,ACE2,2.6,6/15/2022,35641567
7xo9,SARS-CoV-2,none,RBD,,ACE2,3,6/15/2022,null
7xoc,SARS-CoV-2,none,RBD,,ACE2,3,6/15/2022,null
7ydi,SARS-CoV-2,Orig,RBD,R1-32,ACE2,3.98,8/24/2022,null
7yeg,SARS-CoV-2,none,RBD,R1-32,ACE2,3.73,8/24/2022,null
7zdq,SARS-CoV-2,none,RBD,,ACE2,3.2,5/18/2022,null
8aqw,SARS-CoV-2,none,RBD,,ACE2*,3.3,3/15/2023,null
8df5,SARS-CoV-2,none,RBD,"S304,S309",ACE2,2.7,8/3/2022,35762884
8dlk,SARS-CoV-2,none,RBD,,ACE2,3.04,8/31/2022,35982054
8dln,SARS-CoV-2,none,RBD,,ACE2,3.04,8/31/2022,35982054
8dlq,SARS-CoV-2,none,RBD,,ACE2,2.77,8/31/2022,35982054
8dlv,SARS-CoV-2,none,RBD,,ACE2,3.11,8/31/2022,35982054
8dm6,SARS-CoV-2,none,RBD,,ACE2,2.77,2/8/2023,36640338
8dm8,SARS-CoV-2,none,RBD,,ACE2*,2.68,2/8/2023,36640338
8dma,SARS-CoV-2,none,RBD,,ACE2*,2.79,2/8/2023,36640338
8dv1,SARS-CoV-2,Orig,RBD,,ACE2,3.4,8/31/2022,null
8dv2,SARS-CoV-2,Orig,RBD,,ACE2,3.5,8/31/2022,null
